3405095443.21875,21.200524,0.006286,0.026286,0.178286,-0.4369,1.6074,-0.0977,51.960343,-70,20.550159,22.129087,23.873439,25.690231
3405095443.42187,50.061881,-0.004,0.950857,0.497143,-2,0.6599,-1.1244,62.687866,-70,20.572711,22.218137,20.467628,25.305426
3405095443.51562,33.859519,0.006286,1.666857,1.376572,-0.0203,2.1579,0.9376,67.154572,-70,20.569489,24.278566,24.989705,21.979815
3405095443.60938,15.875186,0.006286,8.117714,7.970863,-0.0203,1.6369,1.004,69.400625,-70,20.566268,25.617752,23.87983,23.087753
3405095443.71875,4.018696,0.006286,18.485714,18.679443,-0.0203,4.2421,2.9063,69.903695,-70,20.556603,22.135502,21.817657,23.721521
3405095443.8125,-0.100827,0.006286,29.113714,29.666308,-0.0203,6.7041,5.2111,68.477591,-70,20.556603,24.499773,24.262599,22.202101
3405095443.92187,-0.804562,0.006286,39.941143,40.229173,-0.0203,9.2393,7.5232,65.460209,-70,20.572711,22.383364,21.429685,23.493553
3405095444.01562,-0.75312,0.006286,50.681143,50.994324,-0.0203,9.8998,9.831,60.282055,-70,20.559824,22.367333,23.081351,23.715127
3405095444.10937,-0.275732,0.006286,61.109143,61.465189,-0.0203,8.8037,9.8998,54.859604,-70,20.550159,21.661864,22.535712,22.773753
3405095444.21875,-6.932405,0.006286,69.971429,71.904054,-0.0203,-1.6375,-0.1567,48.039657,-70,20.579155,24.268986,21.254482,21.493172
3405095444.32813,-64.80533,0.006857,70.141143,72.657769,-0.0221,-5.8009,2.3023,41.448898,-70,20.569489,24.670584,22.532507,22.056061
3405095444.42187,-95.349888,0.006857,66.954857,69.353195,-0.0221,-9.8998,1.4648,37.312134,-70,20.556603,24.743207,23.398345,24.427112
3405095444.51562,-47.825156,0.006857,59.468571,60.995474,-0.0221,-9.8998,-0.8098,32.845428,-70,20.566268,23.95577,21.018886,22.529302
3405095444.60937,-5.97763,0.006857,49.286286,51.052038,-0.0221,-9.8998,0.6986,30.599375,-70,20.563046,21.028532,22.062477,24.755967
3405095444.71875,-65.809489,0.006857,43.308,45.620606,-0.0221,-3.5318,1.8261,30.096305,-70,20.585598,24.281759,21.346912,21.983024
3405095444.8125,-46.141954,0.006857,38.956571,40.698888,-0.0221,-1.6934,-0.2771,31.522409,-70,20.569489,22.681604,20.693849,21.092073
3405095444.92187,-9.545689,0.006857,32.642857,33.916025,-0.0221,-0.4356,0.1512,34.539791,-70,20.566268,22.529302,22.846668,25.456837
3405095445.01562,2.989844,0.006857,32.062286,33.179453,-0.0221,1.3444,0.8934,39.717945,-70,20.566268,25.305426,19.829455,21.582343
3405095445.10937,11.605451,0.006857,36.856571,37.678885,-0.0221,1.8894,0.4897,45.140396,-70,20.569489,22.383364,22.46275,21.827286
3405095445.21875,11.654835,0.006857,45.637143,47.043464,-0.0221,0.2851,0.6409,51.960343,-70,20.556603,24.667394,19.024053,23.16382
3405095445.3125,-22.531859,0.006857,54.372571,56.450899,-0.0221,-0.9591,2.1813,57.653669,-70,20.566268,21.890719,22.526097,26.556683
3405095445.42188,-42.701473,0.006857,59.826857,61.922904,-0.0221,-0.7852,2.1843,62.687866,-70,20.556603,24.351248,22.211723,21.655442
3405095445.51562,-35.567414,0.006857,65.138857,67.094336,-0.0221,-0.2501,1.6197,67.154572,-70,20.559824,24.262599,20.052762,22.59905
3405095445.60937,-29.338744,0.006857,68.719429,70.903482,-0.0221,0.6501,2.1935,69.400625,-70,20.563046,24.825387,19.982635,22.529302
3405095445.71875,-44.207713,0.006857,70.520571,72.671483,-0.0221,-1.9662,1.8378,69.903695,-70,20.563046,22.13871,25.384323,22.773753
3405095445.8125,-35.542721,0.006857,69.445714,71.405196,-0.0221,-1.9041,0.9241,68.477591,-70,20.566268,21.658653,25.77543,23.087753
3405095445.92188,-48.629719,0.006857,67.417143,69.513195,-0.0221,-3.3487,1.3444,65.460209,-70,20.556603,22.446722,24.901175,25.611384
3405095446.01562,-49.533051,0.006857,63.373143,65.434906,-0.0221,-2.7533,0.9346,60.282055,-70,20.566268,25.068655,22.297551,25.620937
3405095446.10937,-40.491499,0.006857,58.697143,60.685188,-0.0221,-2.4547,0.9837,54.859604,-70,20.569489,21.741372,25.778614,24.515731
3405095446.21875,-47.323077,0.006857,52.841714,54.921184,-0.0221,-3.0224,1.3462,48.039657,-70,20.563046,22.21493,21.738162,22.056061
3405095446.32812,-54.154654,0.006857,46.134857,48.236608,-0.0221,-2.9155,1.5091,42.346331,-70,20.556603,20.942472,25.460022,24.986517
3405095446.42187,-53.527054,0.006857,40.786857,42.926889,-0.0221,-2.851,1.482,37.312134,-70,20.566268,23.559961,22.291138,24.114001
3405095446.51563,-53.352149,0.006857,35.746857,37.7926,-0.0221,-2.9628,1.5281,32.845428,-70,20.58882,21.820867,21.42326,20.945687
3405095446.60937,-59.204259,0.006857,32.089143,34.251454,-0.0221,-2.8873,1.9398,30.599375,-70,20.575933,22.684808,23.239874,25.13803
3405095446.71875,-58.375005,0.006857,30.774286,32.919453,-0.0221,-2.2722,2.3355,30.096305,-70,20.572711,24.834956,21.903557,21.346912
3405095446.8125,-68.548293,0.006857,31.581714,33.802882,-0.0221,-1.4851,3.1711,31.522409,-70,20.566268,24.752777,22.297551,21.661864
3405095446.92187,-53.603189,0.006857,33.701143,35.740027,-0.0221,-0.3084,2.5899,34.539791,-70,20.563046,21.973397,23.16382,23.322316
3405095447.01563,-58.751565,0.006857,37.850286,40.176602,-0.0221,-1.2977,3.5017,39.717945,-70,20.563046,25.153966,20.553776,21.668286
